district,year,population
Muar,2023,1273.9
Mukah,2020,169.1
Mukah,2021,171.6
Mukah,2022,170.0
Mukah,2023,171.9
Nabawan,2020,113.6
Nabawan,2021,114.6
Nabawan,2022,117.0
Nabawan,2023,120.6
Padang Terap,2020,262.6
Padang Terap,2021,265.3
Padang Terap,2022,266.0
Padang Terap,2023,268.0
Pakan,2020,61.5
Pakan,2021,61.8
Pakan,2022,62.2
Pakan,2023,62.5
Papar,2020,603.1
Papar,2021,604.9
Papar,2022,610.5
Papar,2023,618.4
Pasir Mas,2020,921.5
Pasir Mas,2021,928.0
Pasir Mas,2022,936.5
Pasir Mas,2023,949.0
Pasir Puteh,2020,544.4
Pasir Puteh,2021,550.0
Pasir Puteh,2022,555.8
Pasir Puteh,2023,562.9
Pekan,2020,484.8
Pekan,2021,490.3
Pekan,2022,493.9
Pekan,2023,503.4
Penampang,2020,649.0
Penampang,2021,662.3
Penampang,2022,652.6
Penampang,2023,662.7
Pendang,2020,395.5
Pendang,2021,397.2
Pendang,2022,399.2
Pendang,2023,402.6
Perak Tengah,2020,378.5
Perak Tengah,2021,380.2
Perak Tengah,2022,382.5
Perak Tengah,2023,388.5
Perlis,2020,1139.6
Perlis,2021,1150.5
Perlis,2022,1158.9
Perlis,2023,1170.8
Petaling,2020,9192.4
Petaling,2021,9262.7
Petaling,2022,9219.7
Petaling,2023,9336.8
Pitas,2020,146.7
Pitas,2021,148.5
Pitas,2022,149.2
Pitas,2023,151.7
Pokok Sena,2020,199.2
Pokok Sena,2021,199.7
Pokok Sena,2022,200.5
Pokok Sena,2023,201.7
Pontian,2020,693.2
Pontian,2021,696.6
Pontian,2022,694.5
Pontian,2023,702.0
Port Dickson,2020,515.0
Port Dickson,2021,515.9
Port Dickson,2022,520.7
Port Dickson,2023,530.9
Pusa,2020,78.2
Pusa,2021,78.2
Pusa,2022,78.4
Pusa,2023,80.3
Putatan,2020,275.2
Putatan,2021,276.8
Putatan,2022,276.7
Putatan,2023,280.7
Ranau,2020,340.2
Ranau,2021,345.8
Ranau,2022,345.4
Ranau,2023,350.4
Raub,2020,384.5
Raub,2021,384.0
Raub,2022,387.3
Raub,2023,395.3
Rembau,2020,189.4
Rembau,2021,189.9
Rembau,2022,190.9
Rembau,2023,194.0
Rompin,2020,392.5
Rompin,2021,402.0
Rompin,2022,401.4
Rompin,2023,406.2
Sabak Bernam,2020,428.4
Sabak Bernam,2021,429.9
Sabak Bernam,2022,431.4
Sabak Bernam,2023,436.5
Samarahan,2020,513.1
Samarahan,2021,530.5
Samarahan,2022,534.0
Samarahan,2023,538.4
Sandakan,2020,1756.1
Sandakan,2021,1728.2
Sandakan,2022,1741.3
Sandakan,2023,1878.7
Saratok,2020,92.6
Saratok,2021,92.5
Saratok,2022,92.8
Saratok,2023,93.4
Sarikei,2020,176.3
Sarikei,2021,177.0
Sarikei,2022,177.7
Sarikei,2023,178.9
Sebauh,2020,118.9
Sebauh,2021,112.7
Sebauh,2022,116.4
Sebauh,2023,127.4
Seberang Perai Selatan,2020,735.7
Seberang Perai Selatan,2021,745.9
Seberang Perai Selatan,2022,741.8
Seberang Perai Selatan,2023,745.9
Seberang Perai Tengah,2020,1691.8
Seberang Perai Tengah,2021,1686.3
Seberang Perai Tengah,2022,1690.9
Seberang Perai Tengah,2023,1733.4
Seberang Perai Utara,2020,1356.3
Seberang Perai Utara,2021,1359.3
Seberang Perai Utara,2022,1365.6
Seberang Perai Utara,2023,1386.1
Segamat,2020,791.1
Segamat,2021,789.6
Segamat,2022,792.9
Segamat,2023,806.2
Selama,2020,137.5
Selama,2021,137.8
Selama,2022,138.2
Selama,2023,139.3
Selangau,2020,78.7
Selangau,2021,78.9
Selangau,2022,79.7
Selangau,2023,81.4
Semporna,2020,666.2
Semporna,2021,641.9
Semporna,2022,661.3
Semporna,2023,743.8
Sepang,2020,1301.2
Sepang,2021,1322.6
Sepang,2022,1326.3
Sepang,2023,1354.1
Seremban,2020,2769.5
Seremban,2021,2784.5
Seremban,2022,2787.6
Seremban,2023,2820.7
Serian,2020,341.4
Serian,2021,342.3
Serian,2022,344.1
Serian,2023,348.1
Setiu,2020,238.6
Setiu,2021,242.2
Setiu,2022,246.4
Setiu,2023,251.7
Sibu,2020,992.3
Sibu,2021,990.5
Sibu,2022,996.3
Sibu,2023,1016.0
Sik,2020,271.9
Sik,2021,272.8
Sik,2022,274.5
Sik,2023,276.3
Simunjan,2020,144.3
Simunjan,2021,145.4
Simunjan,2022,146.2
Simunjan,2023,148.5
Sipitang,2020,151.5
Sipitang,2021,150.3
Sipitang,2022,152.8
Sipitang,2023,157.4
Song,2020,39.9
Song,2021,40.0
Song,2022,40.0
Song,2023,40.4
Sri Aman,2020,245.3
Sri Aman,2021,245.6
Sri Aman,2022,245.3
Sri Aman,2023,244.8
Subis,2020,229.2
Subis,2021,234.8
Subis,2022,226.2
Subis,2023,228.4
Tambunan,2020,126.7
Tambunan,2021,126.7
Tambunan,2022,128.2
Tambunan,2023,130.7
Tampin,2020,353.0
Tampin,2021,354.9
Tampin,2022,355.5
Tampin,2023,359.2
Tanah Merah,2020,603.5
Tanah Merah,2021,609.5
Tanah Merah,2022,615.0
Tanah Merah,2023,623.1
Tangkak,2020,653.8
Tangkak,2021,656.4
Tangkak,2022,658.2
Tangkak,2023,667.4
Tanjung Manis,2020,31.7
Tanjung Manis,2021,32.3
Tanjung Manis,2022,32.0
Tanjung Manis,2023,32.1
Tatau,2020,128.0
Tatau,2021,129.6
Tatau,2022,127.8
Tatau,2023,129.2
Tawau,2020,1490.6
Tawau,2021,1495.8
Tawau,2022,1478.4
Tawau,2023,1575.4
Tebedu,2020,101.1
Tebedu,2021,101.1
Tebedu,2022,101.2
Tebedu,2023,101.5
Telang Usan,2020,69.8
Telang Usan,2021,69.7
Telang Usan,2022,69.6
Telang Usan,2023,70.2
Telupid,2020,117.1
Telupid,2021,118.5
Telupid,2022,115.6
Telupid,2023,121.4
Temerloh,2020,676.2
Temerloh,2021,677.5
Temerloh,2022,685.6
Temerloh,2023,698.7
Tenom,2020,205.1
Tenom,2021,206.3
Tenom,2022,208.4
Tenom,2023,211.7
Timur Laut,2020,2226.1
Timur Laut,2021,2214.2
Timur Laut,2022,2207.0
Timur Laut,2023,2245.4
Tongod,2020,170.9
Tongod,2021,169.0
Tongod,2022,168.9
Tongod,2023,175.9
Tuaran,2020,542.9
Tuaran,2021,545.8
Tuaran,2022,548.3
Tuaran,2023,559.9
Tumpat,2020,720.1
Tumpat,2021,726.9
Tumpat,2022,735.1
Tumpat,2023,745.0
Ulu Langat,2020,5601.8
Ulu Langat,2021,5573.1
Ulu Langat,2022,5653.2
Ulu Langat,2023,5838.9
Ulu Selangor,2020,972.4
Ulu Selangor,2021,974.1
Ulu Selangor,2022,985.6
Ulu Selangor,2023,1008.1
W.P. Kuala Lumpur,2020,7928.2
W.P. Kuala Lumpur,2021,7855.8
W.P. Kuala Lumpur,2022,7844.7
W.P. Kuala Lumpur,2023,7994.2
W.P. Labuan,2020,380.7
W.P. Labuan,2021,383.9
W.P. Labuan,2022,387.2
W.P. Labuan,2023,398.0
W.P. Putrajaya,2020,436.8
W.P. Putrajaya,2021,461.0
W.P. Putrajaya,2022,468.0
W.P. Putrajaya,2023,476.8
Yan,2020,293.4
Yan,2021,294.4
Yan,2022,295.8
Yan,2023,296.8
